170019696283746353	59.52894	-50.179715	SN
170019696283746425	59.49470	-50.040521	SN
170019696284270639	59.22960	-50.315147	SN
170019696284795009	59.71587	-49.799842	SN
170019696284795020	59.66561	-49.765508	SN
170019696285319211	59.40825	-49.929628	SN
170019696285319296	59.30957	-49.980860	SN
170019696285319302	59.46216	-49.857468	SN
170019696285843578	59.21437	-50.151408	SN
170019696288465031	58.74885	-50.623156	SN
170019696288465144	58.71717	-50.480776	SN
170019696289513496	58.97247	-50.229819	SN
170019696290037908	58.57628	-50.379491	SN
170019696290037996	58.39026	-50.346698	SN
170019696290563547	58.08358	-50.564228	SN
170019696290563649	58.04544	-50.542175	SN
170019696290563681	58.04908	-50.520576	SN
170019696291610778	61.48289	-48.252465	SN
170019696292134916	61.43709	-48.514273	ORPHAN
170019696292135074	61.23414	-48.353268	SN
170019696292659213	61.50732	-48.128519	UNCLEAR
170019696293183615	61.08472	-48.137149	SN
170019696293183617	61.16045	-48.089256	SN
170019696293707782	61.02441	-48.440296	UNCLEAR
170019696293707839	61.05893	-48.261573	SN
170019696293707842	60.87318	-48.362902	SN
170019696293707856	60.90825	-48.318396	SN
170019696293707865	61.05570	-48.205029	SN
170019696293707869	61.01130	-48.223250	SN
170019696293707892	61.03340	-48.172698	SN
170019696294232173	61.32982	-47.749085	SN
170019696296329245	60.79513	-48.845240	SN
170019696296853619	60.28124	-48.985566	SN
170019696297377817	60.90209	-48.473093	SN
170019696297377918	60.74809	-48.382851	ORPHAN
170019696297377921	60.76690	-48.366902	ORPHAN
170019696297377979	60.75456	-48.379182	ORPHAN
170019696297377991	60.76506	-48.333510	SN
170019696297902248	60.31101	-48.644774	SN
170019696298426458	60.18189	-48.701838	SN
170019696298950696	60.43495	-48.379859	SN
170019696298950812	60.43285	-48.244468	SN
170019696299475045	60.38464	-48.405596	UNCLEAR
170019696299475118	60.15058	-48.419644	SN
170019696300523547	60.33451	-49.125969	ORPHAN
170019696300523640	60.15123	-49.046520	SN
170019696300523661	60.18163	-48.993190	SN
170019696302096404	59.90868	-49.067014	SN
170019696302096425	59.91829	-49.028815	UNCLEAR
170019696302096451	60.08268	-48.899721	ORPHAN
